version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,pbaodev,baseline,v0+p27467914bc4d+t86e19195220e,27467914bc4d,86e19195220e,Baseline: giữ nguyên starter artifacts,Đo hành vi chưa tối ưu để làm mốc so sánh,"case_accuracy (base, groq)",,0.9333,runs/v0_B_base_groq_20260914T184515286905.json
v0,pbaodev,baseline,v0+p27467914bc4d+t86e19195220e,27467914bc4d,86e19195220e,Baseline adversarial,Đo mức chịu tấn công trước khi thêm guardrail,"case_accuracy (adversarial, groq)",,0.5000,runs/v0_B_adversarial_groq_20260914T184814501811.json
v0,keilelser-05,baseline,v0+p233ec2cecfdf+teb3e2243f237,233ec2cecfdf,eb3e2243f237,Baseline trên provider thứ hai,Đối chiếu baseline giữa hai provider,"case_accuracy (base, openrouter)",,0.7000,runs/v0_B_base_openrouter_20260914T193001241104.json
v1,keilelser-05,system_prompt.md,v1+pbb8779601814+t56a2f5e02720,bb8779601814,56a2f5e02720,"Thêm no-guess ID, latest-intent và confirmation rules",Nếu cấm suy đoán identifier và bắt clarify khi thiếu ID thì lỗi missing-information và wrong-tool giảm ít nhất 50% mà multi-turn không giảm,"case_accuracy (base, openrouter)",0.7000,0.9333,runs/v1_B_base_openrouter_20260914T193949723474.json
v2,keilelser-05,system_prompt.md,v2+p520e87043779+t56a2f5e02720,520e87043779,56a2f5e02720,Xử lý unsupported environment và dựng payload ticket đủ dữ liệu trước yes/no,Nếu không ánh xạ environment ngoài enum và hỏi xác nhận khi payload đã đủ thì H12/H19 pass và multi-turn giữ nguyên,"case_accuracy (base, openrouter)",0.9333,0.9333,runs/v2_B_base_openrouter_20260914T194237101486.json
v2,buide03,tools.yaml,v2+p233ec2cecfdf+t31156d5103f5,233ec2cecfdf,31156d5103f5,"tools.yaml v2: clarify routing, mô tả enum, ranh giới dữ liệu",Nếu mô tả phân biệt rõ clarify(text/yes_no/choice) và enum thì case missing_info pass,"case_accuracy (base, openrouter)",0.9333,0.9000,runs/v2_B_base_openrouter_20260914T202527359905.json
v2,buide03,tools.yaml,v2+p233ec2cecfdf+t31156d5103f5,233ec2cecfdf,31156d5103f5,tools.yaml v2: ranh giới dữ liệu cho search_device_info,Nếu mô tả cấm gửi asset/employee ID ra external search thì adversarial tăng,"case_accuracy (adversarial, openrouter)",0.5000,0.5833,runs/v2_B_adversarial_openrouter_20260914T202657980080.json
v2,buide03,tools.yaml,v2+p233ec2cecfdf+t31156d5103f5,233ec2cecfdf,31156d5103f5,tools.yaml v2 trên extension suite,Mô tả tool rõ hơn giúp advanced tool route đúng,"case_accuracy (extension, openrouter)",,0.9000,runs/v2_B_extension_openrouter_20260914T202721767295.json
v3,pbaodev,system_prompt.md,v3+pc924b6d0afd2+t31156d5103f5,c924b6d0afd2,31156d5103f5,"Gộp prompt v2 với parallel tool calls, một call cho mỗi target, check theo đúng vùng sự cố, hỏi bằng clarify thay vì text",Nếu model lập kế hoạch gọi tool song song và không hỏi bằng text thì H12/H19 pass và base đạt tối đa mà không tăng extra call,"case_accuracy (base, groq)",0.9333,1.0000,runs/v3_B_base_groq_20260916T101817640841.json
v3,pbaodev,system_prompt.md,v3+pc924b6d0afd2+t31156d5103f5,c924b6d0afd2,31156d5103f5,Team eval lần đầu chạy trên artifact cuối,Bộ 10 case nhóm tự viết phát hiện lỗi mà base suite không bắt được,"case_accuracy (group, openrouter)",,0.8000,runs/v3_B_group_openrouter_20260916T102936126755.json
v3,pbaodev,system_prompt.md,v3+pc924b6d0afd2+t31156d5103f5,c924b6d0afd2,31156d5103f5,Extension suite trên artifact cuối,Prompt v3 không làm giảm kết quả advanced tool so với v2,"case_accuracy (extension, openrouter)",0.9000,0.8000,runs/v3_B_extension_openrouter_20260916T110833774072.json
v3,pbaodev,system_prompt.md,v3+pc924b6d0afd2+t31156d5103f5,c924b6d0afd2,31156d5103f5,Adversarial suite trên artifact cuối,Rule xác nhận chặt hơn làm tăng tỷ lệ chặn tấn công so với v2,"case_accuracy (adversarial, openrouter)",0.5833,0.6667,runs/v3_B_adversarial_openrouter_20260916T110900164697.json
